INT	INT	INT	INT	FLOAT	INT	INT	FLOAT	INT	INT	FLOAT	INT	INT	FLOAT
id	vip_req	lvl_min1	lvl_max1	discount1	lvl_min2	lvl_max2	discount2	lvl_min3	lvl_max3	discount3	lvl_min4	lvl_max4	discount4
#日购买次数	vip等级需求												
1	1	1	30	0.3	31	60	0.5	61	80	0.9	81	100	1
2	1	1	30	0.3	31	60	0.5	61	80	0.9	81	100	1
3	1	1	30	0.3	31	60	0.5	61	80	0.9	81	100	1
4	1	1	30	0.3	31	60	0.5	61	80	0.9	81	100	1
5	2	1	30	0	31	60	0.5	61	80	0.9	81	100	1
6	2	1	30	0	31	60	0.5	61	80	0.9	81	100	1
7	3	1	30	0	31	60	0.5	61	80	0.9	81	100	1
8	3	1	30	0	31	60	0.5	61	80	0.9	81	100	1
9	4	1	30	0	31	60	0.5	61	80	0.9	81	100	1
10	5	1	30	0	31	60	0.5	61	80	0.9	81	100	1
11	6	1	30	0	31	60	0.5	61	80	0.9	81	100	1
12	7	1	30	0	31	60	0	61	80	0.9	81	100	1
13	8	1	30	0	31	60	0	61	80	0.9	81	100	1
14	9	1	30	0	31	60	0	61	80	0.9	81	100	1
15	5	1	30	0	31	60	0	61	80	0.9	81	100	1
16	6	1	30	0	31	60	0	61	80	0.9	81	100	1
17	7	1	30	0	31	60	0	61	80	0.9	81	100	1
18	8	1	30	0	31	60	0	61	80	0.9	81	100	1
19	9	1	30	0	31	60	0	61	80	0.9	81	100	1
20	10	1	30	0	31	60	0	61	80	0.9	81	100	1
21	11	1	30	0	31	60	0	61	80	0.9	81	100	1
22	12	1	30	0	31	60	0	61	80	0.9	81	100	1
23	13	1	30	0	31	60	0	61	80	0.9	81	100	1
24	14	1	30	0	31	60	0	61	80	0.9	81	100	1
